Effect,Final Variants,Similar Effects,German,Face Concerns,Face Concerns(near concept),Ingredients(near concept),Ingredients	
,,,,,,scientific products,sodium persulfate
,,,,,,scientific products,sodium phenoxide
,,,,,,scientific products,sodium phosphate
,,,,,,scientific products,sodium phytate
,,,,,,scientific products,sodium picramate
,,,,,,scientific products,sodium polyacrylate
,,,,,,scientific products,sodium propionate
,,,,,,scientific products,sodium salicylate
,,,,,,scientific products,sodium sesquicarbonate
,,,,,,scientific products,sodium silicate
,,,,,,scientific products,sodium sorbate
,,,,,,scientific products,sodium stearate
,,,,,,scientific products,sodium stearoyl glutamate
,,,,,,scientific products,sodium stearyl fumarate
,,,,,,scientific products,sodium sulfate
,,,,,,scientific products,sodium sulfide
,,,,,,scientific products,sodium sulfite
,,,,,,scientific products,sodium sulfonate
,,,,,,scientific products,sodium tallowate
,,,,,,scientific products,sodium thioglycolate
,,,,,,scientific products,sodium toluenesulfonate
,,,,,,scientific products,sodium trideceth sulfate
,,,,,,scientific products,sodium trimetaphosphate
,,,,,,scientific products,sodium xylene sulfonate
,,,,,,scientific products,solum fullonum
,,,,,,scientific products,sorbic acid
,,,,,,scientific products,sorbitan
,,,,,,scientific products,sorbitan caprylate
,,,,,,scientific products,sorbitan isostearate
,,,,,,scientific products,sorbitan laurate
,,,,,,scientific products,sorbitan oleate
,,,,,,scientific products,sorbitan olivate
,,,,,,scientific products,sorbitan palmitate
,,,,,,scientific products,sorbitan sesquioleate
,,,,,,scientific products,sorbitan stearate
,,,,,,scientific products,sorbitan trioleate
,,,,,,scientific products,sorbitan tristearate
,,,,,,scientific products,soy acid
,,,,,,scientific products,soy amino acids
,,,,,,scientific products,soy isoflavones
,,,,,,scientific products,spironolactone
,,,,,,scientific products,squalane
,,,,,,scientific products,squalene
,,,,,,scientific products,stannous fluoride
,,,,,,scientific products,stearalkonium chloride
,,,,,,scientific products,stearalkonium hectorite
,,,,,,scientific products,steareth
,,,,,,scientific products,stearic acid
,,,,,,scientific products,stearoxy dimethicone
,,,,,,scientific products,stearoyl lactylate
,,,,,,scientific products,steartrimonium chloride
,,,,,,scientific products,stearyl alcohol
,,,,,,scientific products,stearyl dimethicone
,,,,,,scientific products,stearyl glycyrrhetinate
,,,,,,scientific products,stearyl stearate
,,,,,,scientific products,stem cells
,,,,,,scientific products,steroids
,,,,,,scientific products,strontium bromide
,,,,,,scientific products,strontium chloride
,,,,,,scientific products,strontium nitride
,,,,,,scientific products,strontium oxide
,,,,,,scientific products,styrene
,,,,,,scientific products,suberin
,,,,,,scientific products,succinic acid
,,,,,,scientific products,sucrose cocoate
,,,,,,scientific products,sucrose dilaurate
,,,,,,scientific products,sucrose laurate
,,,,,,scientific products,sucrose stearate
,,,,,,scientific products,sulfamic acid
,,,,,,scientific products,sulfate
,,,,,,scientific products,sulfur dioxide
,,,,,,scientific products,sulfur trioxide
,,,,,,scientific products,sulfuric acid
,,,,,,scientific products,sulfuryl fluoride
,,,,,,scientific products,sunflower seed acid
,,,,,,scientific products,sunset yellow
,,,,,,scientific products,superoxide dismutase
,,,,,,scientific products,surfactant
,,,,,,scientific products,surgical spirit
,,,,,,scientific products,syliac acid
,,,,,,scientific products,synthetic cannabinoids
,,,,,,scientific products,synthetic wax
,,,,,,scientific products,talcum powder
,,,,,,scientific products,tall oil acid
,,,,,,scientific products,tallow
,,,,,,scientific products,tamarindus indica seed gum
,,,,,,scientific products,tangor
,,,,,,scientific products,tannic acid
,,,,,,scientific products,tapioca starch
,,,,,,scientific products,tartaric acid
,,,,,,scientific products,tbhq
,,,,,,scientific products,teprenone
,,,,,,scientific products,terephthalate
,,,,,,scientific products,tertiary butylhydroquinone
,,,,,,scientific products,tetradecanoic acid
,,,,,,scientific products,tetradibutyl pentaerithrityl hydroxyhydrocinnamate
,,,,,,scientific products,tetrahexyldecyl ascorbate
,,,,,,scientific products,tetrahexyldecyl ascorbate powder
,,,,,,scientific products,tetrapeptide-14
,,,,,,scientific products,tetrapeptide-30
,,,,,,scientific products,tetrasodium edta
,,,,,,scientific products,tetrasodium etidronate
,,,,,,scientific products,theobroma cacao seed butter
,,,,,,scientific products,thioctic acid
,,,,,,scientific products,thioglycolate
,,,,,,scientific products,thioglycolic acid
,,,,,,scientific products,thionyl chloride
,,,,,,scientific products,thiophene
,,,,,,scientific products,thiourea
,,,,,,scientific products,thymidine
,,,,,,scientific products,thymol
,,,,,,scientific products,tilia cordata
,,,,,,scientific products,tin oxide
,,,,,,scientific products,titanium dioxide
,,,,,,scientific products,titanium nitride
,,,,,,scientific products,tocopheryl succinate
,,,,,,scientific products,toluene
,,,,,,scientific products,tonalin
,,,,,,scientific products,tosylamide
,,,,,,scientific products,trace mineral
,,,,,,scientific products,tragacanth
,,,,,,scientific products,tramadol
,,,,,,scientific products,tremella fuciformis polysaccharide
,,,,,,scientific products,tretinoin
,,,,,,scientific products,triacetin
,,,,,,scientific products,triamcinolone acetonide
,,,,,,scientific products,tribehenin
,,,,,,scientific products,tributyl citrate
,,,,,,scientific products,tricalcium phosphate
,,,,,,scientific products,tricaprylin
,,,,,,scientific products,triceteareth 4 phosphate
,,,,,,scientific products,trichloroacetic acid
,,,,,,scientific products,triclocarban
,,,,,,scientific products,triclosan
,,,,,,scientific products,tridecane
,,,,,,scientific products,trideceth
,,,,,,scientific products,tridecyl stearate
,,,,,,scientific products,tridecyl trimellitate
,,,,,,scientific products,triethanolamine
,,,,,,scientific products,triethoxycaprylylsilane
,,,,,,scientific products,triethyl citrate
,,,,,,scientific products,triethylene glycol
,,,,,,scientific products,triethylhexanoin
,,,,,,scientific products,trifolium pratense
,,,,,,scientific products,triheptanoin
,,,,,,scientific products,trihydroxystearin
,,,,,,scientific products,triisononanoin
,,,,,,scientific products,triisopropanolamine
,,,,,,scientific products,trimellitic anhydride copolymer
,,,,,,scientific products,trimethylolpropane
,,,,,,scientific products,trimethylsiloxysilicate
,,,,,,scientific products,trimyristin
,,,,,,scientific products,triolein
,,,,,,scientific products,tripalmitin
,,,,,,scientific products,tripeptide
,,,,,,scientific products,tripeptide-1
,,,,,,scientific products,tris-biphenyl triazine
,,,,,,scientific products,trisiloxane
,,,,,,scientific products,trisodium citrate dihydrate
,,,,,,scientific products,trisodium edta
,,,,,,scientific products,trisodium ethylenediamine disuccinate
,,,,,,scientific products,trisodium hedta
,,,,,,scientific products,trisodium phosphate
,,,,,,scientific products,tristearin
,,,,,,scientific products,tromethamine
,,,,,,scientific products,tropolone
,,,,,,scientific products,troxerutin
,,,,,,scientific products,tryptophan
,,,,,,scientific products,tungsten carbide
,,,,,,scientific products,tyrosine
,,,,,,scientific products,ultramarines
,,,,,,scientific products,undecylenic acid
,,,,,,scientific products,undecylenoyl phenylalanine
,,,,,,scientific products,unsaponifiables
,,,,,,scientific products,urea
,,,,,,scientific products,uridine
,,,,,,scientific products,urocanic acid
,,,,,,scientific products,ursolic acid
,,,,,,scientific products,vaccinium macrocarpon seed oil
,,,,,,scientific products,valine
,,,,,,scientific products,vanadium oxide
,,,,,,scientific products,versagel
,,,,,,scientific products,versathix
,,,,,,scientific products,vinyl dimethicone
,,,,,,scientific products,vinylidene chloride copolymer
,,,,,,scientific products,vp copolymer
,,,,,,scientific products,walnut shell powder
,,,,,,scientific products,ws23
,,,,,,scientific products,xanthine oxidase
,,,,,,scientific products,xanthophyll
,,,,,,scientific products,xi xin
,,,,,,scientific products,xylene
,,,,,,scientific products,xylitylglucoside
,,,,,,scientific products,xymenynic acid
,,,,,,scientific products,yellow 5
,,,,,,scientific products,yellow 5 lake
,,,,,,scientific products,yellow 6 lake
,,,,,,scientific products,yellow 10
,,,,,,scientific products,yinmn
,,,,,,scientific products,zea mays starch
,,,,,,scientific products,zeolite
,,,,,,scientific products,zinc acetate
,,,,,,scientific products,zinc bromide
,,,,,,scientific products,zinc carbonate
,,,,,,scientific products,zinc chloride
,,,,,,scientific products,zinc citrate
,,,,,,scientific products,zinc gluconate
,,,,,,scientific products,zinc iodide
,,,,,,scientific products,zinc oxide
,,,,,,scientific products,zinc pca
,,,,,,scientific products,zinc phosphide
,,,,,,scientific products,zinc pyrithione
,,,,,,scientific products,zinc ricinoleate
,,,,,,scientific products,zinc stearate
,,,,,,scientific products,zinc sulfate
,,,,,,scientific products,zinc undecylenate
,,,,,,scientific products,zirconium silicate
,,,,,,vitamin a products,encapsulated retinol
,,,,,,vitamin a products,hydroxypinacolone retinoate
,,,,,,vitamin a products,retinol
,,,,,,vitamin a products,retinyl
,,,,,,vitamin a products,retinyl acetate
,,,,,,vitamin a products,vitamin a
,,,,,,vitamin b products,biotin
,,,,,,vitamin b products,biotin & b12
,,,,,,vitamin b products,biotin & folic acid
,,,,,,vitamin b products,biotin & keratin
,,,,,,vitamin b products,biotin & zinc
,,,,,,vitamin b products,panthenol
,,,,,,vitamin b products,pantothenic acid
,,,,,,vitamin b products,vitamin b1
,,,,,,vitamin b products,vitamin b2
,,,,,,vitamin b products,vitamin b4
,,,,,,vitamin b products,vitamin b5
,,,,,,vitamin b products,vitamin b6
,,,,,,vitamin b products,vitamin b7
,,,,,,vitamin b products,vitamin b8
,,,,,,vitamin b products,vitamin b9
,,,,,,vitamin b products,vitamin b12
,,,,,,vitamin b products,vitamin b17
,,,,,,vitamin c products,vitamin c
,,,,,,vitamin c products,vitamin k
,,,,,,vitamin d products,vitamin d
,,,,,,vitamin d products,vitamin d3
,,,,,,vitamin e products,tocotrienols
,,,,,,vitamin e products,vitamin e
,,,,,,vitamin f products,vitamin f
,,,,,,vitamin h products,vitamin h
,,,,,,food products,almond flour
,,,,,,food products,artificial sweeteners
,,,,,,food products,asafetida
,,,,,,food products,baking powder
,,,,,,food products,balsamic vinegar
,,,,,,food products,black cumin seed oil
,,,,,,food products,broth
,,,,,,food products,brown rice syrup
,,,,,,food products,butterscotch
,,,,,,food products,caffeine
,,,,,,food products,caramel
,,,,,,food products,cassava flour
,,,,,,food products,cheese culture
,,,,,,food products,chicken broth
,,,,,,food products,chickpea flour
,,,,,,food products,chocolate
,,,,,,food products,chocolate liquor
,,,,,,food products,cinnamon stick
,,,,,,food products,cocoa powder
,,,,,,food products,coconut butter
,,,,,,food products,coconut flour
,,,,,,food products,coconut milk
,,,,,,food products,coconut palm sugar
,,,,,,food products,cream of tartar
,,,,,,food products,damiana leaf
,,,,,,food products,diglyceride
,,,,,,food products,eleuthero root
,,,,,,food products,fiber
,,,,,,food products,french toast
,,,,,,food products,garlic powder
,,,,,,food products,gelatin
,,,,,,food products,ghost powder
,,,,,,food products,ginger juice
,,,,,,food products,hemp seed
,,,,,,food products,himalayan pink salt
,,,,,,food products,himalayan salt
,,,,,,food products,honey
,,,,,,food products,honeycomb
,,,,,,food products,horseradish root
,,,,,,food products,kochujang
,,,,,,food products,konjac powder
,,,,,,food products,lard
,,,,,,food products,lemon wax
,,,,,,food products,mayonnaise
,,,,,,food products,mochi
,,,,,,food products,mushroom
,,,,,,food products,mustard powder
,,,,,,food products,nectar
,,,,,,food products,nitrate
,,,,,,food products,nut butter
,,,,,,food products,nutritional yeast
,,,,,,food products,olive
,,,,,,food products,oolong tea
,,,,,,food products,organic virgin coconut oil
,,,,,,food products,palm kernel oil
,,,,,,food products,peppercorn
,,,,,,food products,psyllium husk
,,,,,,food products,rapeseed
,,,,,,food products,raw honey
,,,,,,food products,red pepper paste
,,,,,,food products,rice starch
,,,,,,food products,rice vinegar
,,,,,,food products,salt brine
,,,,,,food products,seed butter
,,,,,,food products,sorghum flour
,,,,,,food products,sriracha
,,,,,,food products,stevia extract
,,,,,,food products,sugar
,,,,,,food products,sugar substitute
,,,,,,food products,superfoods
,,,,,,food products,tapioca syrup
,,,,,,food products,turbinado sugar
,,,,,,food products,vinegar
,,,,,,food products,worcestershire sauce
,,,,,,food products,yaupon
,,,,,,fruit products,acai
,,,,,,fruit products,akee
,,,,,,fruit products,ananas sativus fruit extract
,,,,,,fruit products,annona
,,,,,,fruit products,apple
,,,,,,fruit products,apricot
,,,,,,fruit products,avocado
,,,,,,fruit products,banana
,,,,,,fruit products,bergamot
,,,,,,fruit products,bilberry
,,,,,,fruit products,bitter orange
,,,,,,fruit products,black sapote
,,,,,,fruit products,blackberry
,,,,,,fruit products,blood orange
,,,,,,fruit products,blueberry
,,,,,,fruit products,boysenberry
,,,,,,fruit products,breadfruit
,,,,,,fruit products,cantaloupe
,,,,,,fruit products,cherimoya
,,,,,,fruit products,cherry
,,,,,,fruit products,cherry tomato
,,,,,,fruit products,chico fruit
,,,,,,fruit products,clementine
,,,,,,fruit products,cloudberry
,,,,,,fruit products,coconut
,,,,,,fruit products,crab apples
,,,,,,fruit products,cranberry
,,,,,,fruit products,cucumber
,,,,,,fruit products,currant
,,,,,,fruit products,damson
,,,,,,fruit products,date
,,,,,,fruit products,dried cherries
,,,,,,fruit products,durian
,,,,,,fruit products,elderberry
,,,,,,fruit products,feijoa
,,,,,,fruit products,fig
,,,,,,fruit products,finger lime
,,,,,,fruit products,fruit
,,,,,,fruit products,fruit pectin
,,,,,,fruit products,garcinia
,,,,,,fruit products,gooseberry
,,,,,,fruit products,grape
,,,,,,fruit products,grapefruit
,,,,,,fruit products,grapeseed
,,,,,,fruit products,green melon
,,,,,,fruit products,guava
,,,,,,fruit products,honeydew
,,,,,,fruit products,huckleberry
,,,,,,fruit products,jabuticaba
,,,,,,fruit products,jackfruit
,,,,,,fruit products,jambul
,,,,,,fruit products,japanese plum
,,,,,,fruit products,jostaberry
,,,,,,fruit products,jujube
,,,,,,fruit products,kiwi
,,,,,,fruit products,kumquat
,,,,,,fruit products,lemon
,,,,,,fruit products,lemon peel
,,,,,,fruit products,lime
,,,,,,fruit products,longan
,,,,,,fruit products,loquat
,,,,,,fruit products,lychee
,,,,,,fruit products,mango
,,,,,,fruit products,maracuja
,,,,,,fruit products,marionberry
,,,,,,fruit products,melon
,,,,,,fruit products,miracle fruit
,,,,,,fruit products,monk fruit extract
,,,,,,fruit products,nance
,,,,,,fruit products,nectarine
,,,,,,fruit products,orange
,,,,,,fruit products,orange peel
,,,,,,fruit products,papaya
,,,,,,fruit products,passionfruit
,,,,,,fruit products,pawpaw
,,,,,,fruit products,peach
,,,,,,fruit products,pear
,,,,,,fruit products,persimmon
,,,,,,fruit products,pineapple
,,,,,,fruit products,pineberry
,,,,,,fruit products,pitaya
,,,,,,fruit products,plantain
,,,,,,fruit products,plum
,,,,,,fruit products,plumcot
,,,,,,fruit products,pluot
,,,,,,fruit products,pomegranate
,,,,,,fruit products,pomelo
,,,,,,fruit products,prune
,,,,,,fruit products,purple mangosteen
,,,,,,fruit products,quince
,,,,,,fruit products,raisin
,,,,,,fruit products,rambutan
,,,,,,fruit products,raspberry
,,,,,,fruit products,redcurrant
,,,,,,fruit products,salak
,,,,,,fruit products,salal berry
,,,,,,fruit products,salmonberry
,,,,,,fruit products,sapodilla
,,,,,,fruit products,satsuma
,,,,,,fruit products,soursop
,,,,,,fruit products,squash
,,,,,,fruit products,star anise
,,,,,,fruit products,star apple
,,,,,,fruit products,star fruit
,,,,,,fruit products,strawberry
,,,,,,fruit products,surinam cherry
,,,,,,fruit products,tamarillo
,,,,,,fruit products,tamarind
,,,,,,fruit products,tangerine
,,,,,,fruit products,tart cherries
,,,,,,fruit products,tomato
,,,,,,fruit products,tomato paste
,,,,,,fruit products,ugli fruit
,,,,,,fruit products,watermelon
,,,,,,fruit products,white currant
,,,,,,fruit products,white sapote
,,,,,,fruit products,wolfberry
,,,,,,fruit products,yellow zucchini
,,,,,,fruit products,yuzu
,,,,,,sweeteners,acesulfame potassium
,,,,,,sweeteners,advantame
,,,,,,sweeteners,agave
,,,,,,sweeteners,allulose
,,,,,,sweeteners,anhydrous dextrose
,,,,,,sweeteners,artificial sweetener
,,,,,,sweeteners,aspartame
,,,,,,sweeteners,birch xylitol
,,,,,,sweeteners,blackstrap molasses
,,,,,,sweeteners,bochasweet
,,,,,,sweeteners,canderel
,,,,,,sweeteners,chicory root
,,,,,,sweeteners,coconut crystals
,,,,,,sweeteners,corn syrup
,,,,,,sweeteners,crystalline fructose
,,,,,,sweeteners,demerara
,,,,,,sweeteners,dextrose
,,,,,,sweeteners,dulce leaves
,,,,,,sweeteners,erythritol
,,,,,,sweeteners,ethyl maltol
,,,,,,sweeteners,ez sweetz
,,,,,,sweeteners,fructose
,,,,,,sweeteners,galactitol
,,,,,,sweeteners,galactose
,,,,,,sweeteners,gentle sweet
,,,,,,sweeteners,gula
,,,,,,sweeteners,hermesetas
,,,,,,sweeteners,high fructose corn syrup
,,,,,,sweeteners,inicia
,,,,,,sweeteners,inulin
,,,,,,sweeteners,isomalt
,,,,,,sweeteners,jaggery
,,,,,,sweeteners,lactitol
,,,,,,sweeteners,liquid stevia
,,,,,,sweeteners,liquid sweetener
,,,,,,sweeteners,low fodmap sweeteners
,,,,,,sweeteners,lucuma
,,,,,,sweeteners,luo han guo
,,,,,,sweeteners,malt syrup
,,,,,,sweeteners,maltitol
,,,,,,sweeteners,maltodextrin
,,,,,,sweeteners,maltose
,,,,,,sweeteners,mannitol
,,,,,,sweeteners,maple syrup
,,,,,,sweeteners,miraculin
,,,,,,sweeteners,molasses
,,,,,,sweeteners,monk drops
,,,,,,sweeteners,monk fruit
,,,,,,sweeteners,natvia
,,,,,,sweeteners,neotame
,,,,,,sweeteners,nevella
,,,,,,sweeteners,nunaturals
,,,,,,sweeteners,nustevia
,,,,,,sweeteners,nutrasweet
,,,,,,sweeteners,oligofructose
,,,,,,sweeteners,organic sweetener
,,,,,,sweeteners,polydextrose
,,,,,,sweeteners,powdered sweetener
,,,,,,sweeteners,pure via
,,,,,,sweeteners,pyure
,,,,,,sweeteners,ragweed
,,,,,,sweeteners,reb m
,,,,,,sweeteners,rebaudioside a
,,,,,,sweeteners,rebiana
,,,,,,sweeteners,saccharin
,,,,,,sweeteners,saccharine
,,,,,,sweeteners,simple syrup
,,,,,,sweeteners,siraitia grosvenorii
,,,,,,sweeteners,slenda
,,,,,,sweeteners,sodium saccharin
,,,,,,sweeteners,sorbitol
,,,,,,sweeteners,spirulina
,,,,,,sweeteners,splenda
,,,,,,sweeteners,starwest botanicals
,,,,,,sweeteners,stevia
,,,,,,sweeteners,stevia glycerite
,,,,,,sweeteners,stevia in the raw
,,,,,,sweeteners,steviol glycosides
,,,,,,sweeteners,stevioside
,,,,,,sweeteners,sucanat
,,,,,,sweeteners,sucralose
,,,,,,sweeteners,sucrose
,,,,,,sweeteners,sukrin
,,,,,,sweeteners,super sweet
,,,,,,sweeteners,svetia
,,,,,,sweeteners,sweet basil
,,,,,,sweeteners,sweetleaf
,,,,,,sweeteners,tagatose
,,,,,,sweeteners,thaumatin
,,,,,,sweeteners,trehalose
,,,,,,sweeteners,truvia
,,,,,,sweeteners,turbinado
,,,,,,sweeteners,vegan sweetener
,,,,,,sweeteners,whey low
,,,,,,sweeteners,xanthan gum
,,,,,,sweeteners,xylitol
,,,,,,sweeteners,xylosweet
,,,,,,sweeteners,yacon
,,,,,,sweeteners,yacon syrup
,,,,,,vegetable products,artichoke
,,,,,,vegetable products,arugula
,,,,,,vegetable products,asparagus
,,,,,,vegetable products,beet
,,,,,,vegetable products,bell pepper
,,,,,,vegetable products,bok choy
,,,,,,vegetable products,broccoli
,,,,,,vegetable products,brussels sprouts
,,,,,,vegetable products,butternut squash
,,,,,,vegetable products,cabbage
,,,,,,vegetable products,caper
,,,,,,vegetable products,capsicum
,,,,,,vegetable products,carrot
,,,,,,vegetable products,cauliflower
,,,,,,vegetable products,cauliflower rice
,,,,,,vegetable products,celery
,,,,,,vegetable products,celery powder
,,,,,,vegetable products,celery seed
,,,,,,vegetable products,chard
,,,,,,vegetable products,chayote
,,,,,,vegetable products,chili pepper
,,,,,,vegetable products,collard greens
,,,,,,vegetable products,corn
,,,,,,vegetable products,daikon
,,,,,,vegetable products,eggplant
,,,,,,vegetable products,endive
,,,,,,vegetable products,ghost pepper
,,,,,,vegetable products,green bean
,,,,,,vegetable products,habanero pepper
,,,,,,vegetable products,healthy greens powder
,,,,,,vegetable products,heart of palm
,,,,,,vegetable products,kale
,,,,,,vegetable products,kohlrabi
,,,,,,vegetable products,lettuce
,,,,,,vegetable products,mung bean
,,,,,,vegetable products,okra
,,,,,,vegetable products,onion
,,,,,,vegetable products,parsnip
,,,,,,vegetable products,potato
,,,,,,vegetable products,pumpkin
,,,,,,vegetable products,purple yam
,,,,,,vegetable products,radicchio
,,,,,,vegetable products,radish
,,,,,,vegetable products,red pepper
,,,,,,vegetable products,refried beans
,,,,,,vegetable products,rhubarb
,,,,,,vegetable products,rutabaga
,,,,,,vegetable products,scallion
,,,,,,vegetable products,shallot
,,,,,,vegetable products,spinach
,,,,,,vegetable products,sprouts
,,,,,,vegetable products,sweet potato
,,,,,,vegetable products,tomatillo
,,,,,,vegetable products,turnip
,,,,,,vegetable products,vegetable rennet
,,,,,,vegetable products,water chestnut
,,,,,,vegetable products,watercress
,,,,,,vegetable products,yam
